hw_synset_7451	戏剧性、戏剧化	形容词，引人注目的表现或变化。
hw_synset_3166	死刑、极刑、斧钺	名词，剥夺生命的严厉刑罚或惩罚措施
hw_synset_27915	寒露	名词，秋季特定节气，标志气温逐渐降低。
hw_synset_7005	乳臭未干、羽毛未丰	形容词，尚未成熟的年轻人。
hw_synset_33691	本国人	名词，来自某个国家的人。
hw_synset_26285	外国人	名词，来自其他国家的人。
hw_synset_30396	战马	名词，用于战争的马。
hw_synset_473	如花似锦、光明	形容词，比喻正义的或有希望的。
hw_synset_7268	暗淡、暗淡无光	形容词，缺乏光亮或生气的状态。
hw_synset_7006	庸、碌碌、哙、碌	形容词，无所作为的人。
hw_synset_41039	膏剂	名词，药物形式的涂抹材料。
hw_synset_43277	负整数	名词，小于零的整数。
hw_synset_75	后续、历任、绵绵、衮衮、连环	形容词，属性词。比喻一个接着一个互相关联的。
hw_synset_7014	断续、时断时续、断断续续、间歇	形容词，不连续的状态或过程。
hw_synset_7236	失去理性、漫无目标、毫无目标、非理性、漫无目的、无目的、无谓	形容词，缺乏理智和明确方向的状态。
hw_synset_7028	三思而后行、三思而行	形容词，谨慎行事，深思熟虑。
hw_synset_10374	羧、羧基	名词，含有羧酸的化学基团。
hw_synset_8724	化学物	名词，与化学相关的物质。
hw_synset_14513	爽然若失、找不着北、不摸门儿、不摸头、丈二和尚摸不着头脑、摸不着头、爽然、没着没落、迷惘、不知所措、摸不着门儿、茫然失措、困惑、茫然若失、摸不着头脑	动词，感到困惑和迷茫。
hw_synset_14696	了如指掌、了若指掌	动词，对事物非常了解。
hw_synset_10188	渭	名词，中国的一条河流。
hw_synset_33934	极右	形容词，极端保守的政治立场。
hw_synset_33940	极左	形容词，极端左翼政治立场。
hw_synset_2643	低热、低烧	名词，人的体温在37.5—38℃叫低热。
hw_synset_37204	现象	名词，可观察到的事物或事件。
hw_synset_7573	以往、从前、原先、前头、前边	形容词，过去的时间或状态。
hw_synset_7571	今番、今个、现、本届、时、本、今、当前、现代、近代	形容词，当前的时间或时期。
hw_synset_4902	晓畅、认知、体认、通、知悉	动词，对事实或道理的认识和理解能力
hw_synset_14518	茫然不解、无知、茫然	动词，对事物缺乏了解或认识。
hw_synset_15825	削减工资、减薪	动词，减少员工的薪水。
hw_synset_35902	涨工资	动词，增加薪水的行为。
hw_synset_40912	脉动	名词，有规律的变化现象。
hw_synset_4437	熟食、熟菜、烟火	名词，经过烹饪处理的可食用食品，通常指熟肉类。
hw_synset_1500	餐点、料理、膳食、饭食、吃喝儿	名词，与吃和喝相关的各种食品和餐饮方式
hw_synset_14751	入驻、进驻	动词，进入某个地方或机构。
hw_synset_6899	寡、寥、不充足	形容词，数量少，不足。
hw_synset_6957	目不暇给、目不暇接	形容词，眼前事物繁多，难以一一看清。
hw_synset_14261	赌场	名词，进行赌博的场所。
hw_synset_36819	版块	名词，某个特定的部分或区域。
hw_synset_50	悠悠、长远、久远、长、悠长	形容词，时间或空间上持续较长的状态或特征
hw_synset_11462	初夏、夏初	名词，夏季的开始阶段。
hw_synset_26250	夏末	名词，夏季结束时的时期。
hw_synset_7804	有用、用得着	形容词，能够提供帮助或满足需求的。
hw_synset_7195	蚍蜉撼树、蚍蜉撼大树	形容词，微不足道的力量对抗强大事物。
hw_synset_7170	低于标准规格、等外	形容词，低于正常标准的等级或质量。
hw_synset_7150	圣、神圣	形容词，具有崇高地位或性质的事物。
hw_synset_35585	活口	名词，活着的人。
hw_synset_19231	亡人	名词，已故的人。
hw_synset_4905	知底、知情	动词，了解事情的根本或详细情况
hw_synset_5748	退缩、却步、后退、退、倒退	动词，向后移动或撤回的动作或状态
hw_synset_14530	横冲直撞、横冲直闯	动词，鲁莽地向前冲。
hw_synset_33869	杜马	名词，俄罗斯的政治机构。
hw_synset_2598	机械、机子、机器	名词，由零部件组成，能运转并产生功的装置或机械。
hw_synset_14540	活命、聊生	动词，维持生命的状态。
hw_synset_14506	瘐毙、瘐死	动词，窒息而死。
hw_synset_4743	失踪、蒸发、消散、失传、走失	动词，指物体或信息的消失、失去或不再存在的状态
hw_synset_7080	亟待、亟需	形容词，迫切需要的状态。
hw_synset_7566	人心涣散、懈、懈弛	形容词，心态松懈，缺乏专注。
hw_synset_1242	废物、朽木、下三滥、下三烂、草包	名词，比喻无用或无能的人，常带有贬义。
hw_synset_897	腕儿、大腕、好手	名词，有名气和实力的人，通常指文艺或体育界的杰出人物
hw_synset_277	浓、密密层层、浓密、稠密、密实	形容词，形容事物之间距离近或数量多，状态稠密。
hw_synset_7621	疏朗、疏淡、疏疏朗朗	形容词，稀疏而清晰的状态。
hw_synset_7231	不重要、不关痛痒、不要紧、不足轻重	形容词，无关紧要的事物。
hw_synset_7450	堪称第一、堪称一绝	形容词，极为重要的事物或人。
hw_synset_7235	扬长、大摇大摆	形容词，自信且张扬的行为。
hw_synset_14855	塌下心、坦然、冷静、坦坦然然、塌心、坦然自若、定心、安静	动词，心态平和，情绪稳定。
hw_synset_11691	归侨	名词，从国外回国定居的中国人。
hw_synset_6987	日不暇给、不暇、无暇	形容词，忙得没有时间。
hw_synset_7614	得闲、得空、有空	形容词，有时间的状态。
hw_synset_25421	国外分行	名词，在外国设立的金融机构分支。
hw_synset_25399	国内分行	名词，国内的金融机构分支。
hw_synset_30021	恶水	名词，贫困地区的水源。
hw_synset_26700	天府之国	名词，富饶的地方。
hw_synset_5609	佃、包租、赁、租、租用	动词，以归还原物并付代价为条件使用他物的行为
hw_synset_5755	赁、出租、租、租借、租赁	动词，以支付代价为条件使用他人财物的行为
hw_synset_12038	烟民	名词，吸烟的人。
hw_synset_38176	直辖市	名词，由中央政府直接管理的城市。
hw_synset_5848	省、省略	动词，去掉不必要的部分或内容
hw_synset_15361	收载、收录	动词，将某物纳入或记录在内。
hw_synset_42776	训练营	名词，教授技能的机构或场所。
hw_synset_7441	厶、个人	形容词，私人的个体。
hw_synset_7612	份外、分外	形容词，特别、额外的程度。
hw_synset_33204	暖阁	名词，温暖的房间。
hw_synset_1495	屋、居室、屋子、房、房间	名词，供人居住或使用的建筑空间或部分
hw_synset_43409	贬义	名词，贬低或轻视某事物的态度。
hw_synset_2164	声气、资讯、释义、见闻、内涵	名词，与信息、意义、消息相关的词汇，涉及传递和理解。
hw_synset_817	粉剂、散剂	名词，干燥松散的粉末状制剂，分内服和外用两种。
hw_synset_9058	螳螂	名词，一种捕食性昆虫。
hw_synset_42487	要件	名词，重要的文书或文件。
hw_synset_46935	饥寒	名词，饥饿与寒冷的状态。
hw_synset_11098	雌老虎、母老虎	名词，凶猛的女性。
hw_synset_21109	公山羊	名词，雄性山羊。
hw_synset_6977	窗明几净、光洁、明窗净几	形容词，干净整洁的环境。
hw_synset_7331	蓬首垢面、不整洁、蓬头垢面	形容词，外表脏乱、不修边幅。
hw_synset_29100	底册	名词，原始文书的底本。
hw_synset_46706	预订	名词，提前安排或购买某项服务或场所。
hw_synset_6898	一丝一毫、丁点儿	形容词，极少的数量。
hw_synset_6958	铺天盖地、遮天盖地	形容词，数量众多，覆盖广泛。
hw_synset_33300	最不发达国家	名词，经济发展水平最低的国家。
hw_synset_23808	发达国家	名词，经济繁荣的国家。
hw_synset_2052	米、大米	名词，稻谷加工后的食物，常用于主食。
hw_synset_47287	高温气候	名词，炎热的气候条件。
hw_synset_3078	霜天、冷天	名词，寒冷的天气状态，通常指冬季或晚秋。
hw_synset_15863	分散化、分散	动词，将事物或资源分开，减少集中度。
hw_synset_15013	拥簇、簇拥	动词，聚集在一起的人或物。
hw_synset_7887	嫩生、嫩生生	形容词，柔软而新鲜的状态。
hw_synset_526	硬、艮	形容词，物体不易变形，具有坚韧和紧密的特性
hw_synset_15134	倒向、倾斜	动词，向一侧倾斜或偏斜的状态。
hw_synset_5631	反对、作对、反	动词，对某事持不同意见或态度的行为
hw_synset_7153	至尊、至尊至贵	形容词，最高等级或地位。
hw_synset_7168	下、下品	形容词，低等或劣质的事物。
hw_synset_19330	亲家	名词，通过婚姻关系形成的家庭成员。
hw_synset_8596	家庭成员、家人、家里人	名词，与自己有血缘关系的人。
hw_synset_10942	俸禄	名词，官方或特定职位的薪酬。
hw_synset_5191	满意、满足	动词，感到心情愉悦和满足的状态
hw_synset_14904	忿懑、慊、愤懑、慊慊、不满、觖、不平、不满意	动词，对现状感到不满或愤怒。
hw_synset_35016	水晶宫	名词，皇家的水域建筑。
hw_synset_2646	屋、房子、屋宇、宅子、住房	名词，供人居住或使用的建筑物的总称
hw_synset_5586	冲犯、冲撞、伤害、得罪、损害	动词，言语或行为对他人造成不快或伤害的行为
hw_synset_15240	逗乐儿、耍活宝、逗乐	动词，使人开心或发笑的行为。
hw_synset_9481	颂词、赞	名词，对某人或某事的赞美之词。
hw_synset_43756	越野	名词，在不平坦地形上行驶或行走。
hw_synset_30210	感言	名词，表达情感的文字。
hw_synset_13601	水文	名词，与水相关的现象和知识。
hw_synset_1384	学识、认识、墨、知识、学问	名词，关于知识、学识和认识的概念与实践的总结
hw_synset_2696	马屁精、篾片	名词，善于迎合他人以获取好感的人
hw_synset_42758	讨厌鬼	名词，令人厌烦的人。
hw_synset_18661	中考	名词，初中阶段的升学考试。
hw_synset_10166	近期内、近期	名词，不久的将来。
hw_synset_8315	这时候、这时	名词，当前的时刻。
hw_synset_14613	对不住、对不起	动词，表示歉意或愧疚的表达。
hw_synset_15447	肝胆照人、肝胆相照	动词，彼此真诚相待。
hw_synset_7473	侠肝义胆、侠义	形容词，心地善良、勇于助人的人。
hw_synset_79	小手小脚、鄙吝、小气、抠唆、啬刻	形容词，过分爱惜财物，不愿意花费或给予他人的态度
hw_synset_5924	碍事、有碍	动词，妨碍或造成不便的状态或情况
hw_synset_14468	对路子、对路	动词，适合的方式或方法。
hw_synset_10867	违法分子、违法者、违犯者	名词，违反法律的人。
hw_synset_15445	另眼相看、另眼看待	动词，以不同的方式看待或对待某人或某事。
hw_synset_2951	通报、声明、告示、布告、公报	名词，用于通知或说明事项的正式文书或声明
hw_synset_14757	加劲、加力	动词，增强努力或力量。
hw_synset_22357	前身	名词，过去的物质或状态。
hw_synset_8897	橡	名词，一种树木，常用于制作家具和地板。
hw_synset_13790	牺牲	名词，为某种事业或目标而放弃生命或利益。
hw_synset_7287	无端、凭白无故、平白、无端端、无缘无故	形容词，没有理由或原因的情况。
hw_synset_7349	占理、入理、不无道理、入情入理	形容词，合乎情理的观点或说法。
hw_synset_19555	他杀	名词，故意杀害他人的行为。
hw_synset_1245	庸人、庸才	名词，能力平常或缺乏作为的人
hw_synset_895	人精、老江湖	名词，指经验丰富、世故圆滑的人。
hw_synset_557	正当、法定、合法	形容词，符合法律规定或合理的状态
hw_synset_202	不法、非法、不轨	形容词，违反法律或规则的行为或状态
hw_synset_1769	山、丘陵、山陵、峁	名词，地面上高耸的土石形成的自然地貌
hw_synset_227	粗、低级、鄙吝、粗鄙、蛮荒	形容词，粗俗；浅陋。
hw_synset_7211	超凡脱俗、超尘拔俗、超凡入圣	形容词，超越世俗的卓越境界。
hw_synset_31645	插话	名词，打断他人讲话。
hw_synset_7001	等米下锅、家无隔宿之粮	形容词，生活贫困，连基本的食物都没有。
hw_synset_283	虚伪、伪善、假惺惺、岸然	形容词，表现出不真实或虚假的态度和行为
hw_synset_449	醇厚、淳厚	形容词，诚实朴素的品质或状态
